country,n_docs
UNKNOWN,7833142
China,1871343
United States,1722560
India,790356
United Kingdom,687999
Germany,431972
Japan,294212
Italy,257040
South Korea,252293
France,227932
Canada,220934
Russia,205960
Spain,205538
Iran,186452
Brazil,184237
Australia,182412
Turkey,172869
Poland,138156
Netherlands,108397
Taiwan,86225
Sweden,83654
Saudi Arabia,79036
South Africa,79035
Mexico,70648
Switzerland,63603
Norway,52006
Portugal,49193
Greece,46679
Finland,46176
Israel,45694
Czechia,45675
Belgium,43854
Denmark,41503
Austria,37209
Singapore,36806
New Zealand,32199
Ireland,26804
Hong Kong,26577
United Arab Emirates,17096
