country,n_years,N_total,OR_per_year,lo95,hi95,p,target
UNKNOWN,16,7833142,1.028519919142898,1.0285073413871564,1.0285324970524548,0.0,union
China,16,1871343,1.1358361158364094,1.1357847365045413,1.1358874974925168,0.0,union
United States,16,1722560,1.064565425821575,1.0645322153337642,1.0645986373454621,0.0,union
India,16,790356,1.1176871875249597,1.117600770146115,1.1177736115859427,0.0,union
United Kingdom,16,687999,1.0504758024906504,1.0504518762821808,1.0504997292440887,0.0,union
Germany,16,431972,1.1026890268852083,1.1026114014157211,1.102766657819643,0.0,union
Japan,16,294212,1.108119350706616,1.1079414960473082,1.1082972339164203,0.0,union
Italy,16,257040,1.0741368642064602,1.0739995135260147,1.0742742324522854,0.0,union
South Korea,16,252293,1.1111221795329416,1.1108856866175516,1.1113587227945547,0.0,union
France,16,227932,1.080585437737991,1.0804574778411915,1.0807134127892375,0.0,union
Canada,16,220934,1.0660120865427059,1.0658279327677325,1.0661962721357727,0.0,union
Russia,16,205960,1.168184890414273,1.1679218881490965,1.168447951904465,0.0,union
Spain,16,205538,1.062108042136903,1.0619942461085627,1.0622218503588456,0.0,union
Iran,16,186452,1.099524121239416,1.099315591955256,1.0997326900795168,0.0,union
Brazil,16,184237,1.1015475921304843,1.1014526300870642,1.1016425623610833,0.0,union
Australia,16,182412,1.0488762659456996,1.04875084120122,1.0490017056902783,0.0,union
Turkey,16,172869,1.101223150824138,1.1006144881479003,1.10183215010348,0.0,union
Poland,16,138156,1.129519207388952,1.1292742237107767,1.1297642442136537,0.0,union
Netherlands,16,108397,1.0644459033154887,1.0642700151767697,1.0646218205226181,0.0,union
Taiwan,16,86225,1.0814392807356963,1.0811874714702667,1.0816911486476677,0.0,union
Sweden,16,83654,1.076022916027494,1.075803994787571,1.0762418818168973,0.0,union
Saudi Arabia,16,79036,1.1063472131620689,1.105894383250031,1.1068002284941003,0.0,union
South Africa,16,79035,1.0426479021890451,1.0421828110526223,1.0431132008799995,0.0,union
Mexico,16,70648,1.0379738710227486,1.0377477386792904,1.0382000526419939,0.0,union
Switzerland,16,63603,1.0985174614788646,1.0980049462101642,1.0990302159740837,0.0,union
Norway,16,52006,1.0635540491792494,1.063199802918039,1.063908413471345,0.0,union
Portugal,16,49193,1.079890978102965,1.0794355429774896,1.0803466053854944,0.0,union
Greece,16,46679,1.0624485249000777,1.0619718588624765,1.0629254048892158,0.0,union
Finland,16,46176,1.0587237929187012,1.0582274380908143,1.0592203805586533,0.0,union
Israel,16,45694,1.041389801316891,1.0411659137196863,1.0416137370578695,0.0,union
Czechia,16,45675,1.1471987534784989,1.14663084286924,1.1477669453661328,0.0,union
Belgium,16,43854,1.0566344708324966,1.056412151722948,1.056856836728507,0.0,union
Denmark,16,41503,1.0753613503977082,1.0750670710730128,1.075655710275816,0.0,union
Austria,16,37209,1.0882343521184656,1.0872944913439975,1.0891750253115402,0.0,union
Singapore,16,36806,1.0885173608871985,1.0879478499394004,1.0890871699584035,0.0,union
New Zealand,16,32199,1.065722860253568,1.0653154555359379,1.0661304207735034,0.0,union
Ireland,16,26804,1.0541792596552138,1.0534839828172327,1.0548749953609988,0.0,union
Hong Kong,16,26577,1.0604817394794666,1.0597478967395768,1.061216090382825,0.0,union
United Arab Emirates,12,15730,1.067176043080803,1.0648328019070092,1.0695244407253486,0.0,union
