country,n_years,N_total,OR_per_year,lo95,hi95,p,target
UNKNOWN,16,7833142,1.0296371542060905,1.0296242735449783,1.0296500350283404,0.0,abstract
China,16,1871343,1.1357183498714716,1.1356662401948272,1.1357704619391515,0.0,abstract
United States,16,1722560,1.065799955032905,1.0657665878833678,1.065833323227105,0.0,abstract
India,16,790356,1.1175325672809746,1.1174413516124126,1.1176237903953845,0.0,abstract
United Kingdom,16,687999,1.05168176197735,1.0516573041845891,1.0517062203389118,0.0,abstract
Germany,16,431972,1.101942758462716,1.1018676161351808,1.102017905914614,0.0,abstract
Japan,16,294212,1.1067572744677943,1.106588873328528,1.1069257012344136,0.0,abstract
Italy,16,257040,1.0732821229979368,1.0731456463446762,1.073418617007534,0.0,abstract
South Korea,16,252293,1.110057654316181,1.1098123843596746,1.110302978477662,0.0,abstract
France,16,227932,1.0811031759008245,1.0809709645182264,1.0812354034539309,0.0,abstract
Canada,16,220934,1.0666164168583783,1.066426928282749,1.066805939103375,0.0,abstract
Russia,16,205960,1.166799562107576,1.1665363949471304,1.1670627886377547,0.0,abstract
Spain,16,205538,1.0598537340193053,1.0597316620426027,1.0599758200576501,0.0,abstract
Iran,16,186452,1.1008978938355878,1.10068333298771,1.1011124965087176,0.0,abstract
Brazil,16,184237,1.0996512454987235,1.0995374007903251,1.0997651019944588,0.0,abstract
Australia,16,182412,1.0507351441952897,1.0506036999727608,1.050866604863205,0.0,abstract
Turkey,16,172869,1.0997939254483236,1.099164546217315,1.1004236650605126,0.0,abstract
Poland,16,138156,1.1288521608999345,1.1285859598199663,1.1291184247691075,0.0,abstract
Netherlands,16,108397,1.0659810506645107,1.0658011667444507,1.066160964945041,0.0,abstract
Taiwan,16,86225,1.080396137380275,1.0801456230353292,1.080646709826125,0.0,abstract
Sweden,16,83654,1.0744954570742746,1.0742763237606268,1.0747146350872312,0.0,abstract
Saudi Arabia,16,79036,1.1056774453812306,1.105233747791878,1.106121321093583,0.0,abstract
South Africa,16,79035,1.0474570615649494,1.046986948675836,1.0479273855418216,0.0,abstract
Mexico,16,70648,1.0366062671894603,1.036364262813984,1.0368483280760687,0.0,abstract
Switzerland,16,63603,1.0954333521691684,1.0949368674042534,1.09593006205859,0.0,abstract
Norway,16,52006,1.062114435050112,1.0617212060977155,1.062507809642445,0.0,abstract
Portugal,16,49193,1.0812559391620769,1.0807966588176805,1.0817154146758727,0.0,abstract
Greece,16,46679,1.0606755506854806,1.0602047194663877,1.0611465909981876,0.0,abstract
Finland,16,46176,1.0580936897304654,1.0575972321792353,1.0585903803289205,0.0,abstract
Israel,16,45694,1.038346692896202,1.038089228073543,1.038604221574773,0.0,abstract
Czechia,16,45675,1.1461890012292477,1.1455366614497793,1.1468417124915347,0.0,abstract
Belgium,16,43854,1.0557052987998647,1.05542845571971,1.0559822144970603,0.0,abstract
Denmark,16,41503,1.0765411129666802,1.0762621148564404,1.0768201834012583,0.0,abstract
Austria,16,37209,1.0909018409920348,1.0899948800804926,1.0918095565659247,0.0,abstract
Singapore,16,36806,1.0925767395855657,1.0920203673167297,1.0931333953199036,0.0,abstract
New Zealand,16,32199,1.0729453477554107,1.0725430495238688,1.0733477968842682,0.0,abstract
Ireland,16,26804,1.0511844895676272,1.0505247627696945,1.05184463067226,0.0,abstract
Hong Kong,16,26577,1.0617259958454897,1.0609509543042934,1.0625016035668549,0.0,abstract
United Arab Emirates,12,15730,1.0705509912208464,1.068161462622798,1.0729458653093669,0.0,abstract
