pub_year,country,n_hits,n_metaphor,share_metaphor,lo95,hi95
2010,Australia,314,20,0.06369426751592357,0.04160715032770676,0.09632784085740065
2010,Canada,388,32,0.08247422680412371,0.059024511053298104,0.11411045793358045
2010,China,731,168,0.22982216142270862,0.20078292656695435,0.2616861608006618
2010,France,259,31,0.11969111969111969,0.08561582751548379,0.16488292985753028
2010,Germany,273,43,0.1575091575091575,0.11908826499682676,0.20543487255419676
2010,India,396,91,0.2297979797979798,0.19107601034911786,0.2737118567440575
2010,Italy,207,18,0.08695652173913043,0.055711109312514905,0.13325295422385292
2010,Japan,197,42,0.2131979695431472,0.16177564703561265,0.2755915147868706
2010,Netherlands,134,16,0.11940298507462686,0.0748483193690542,0.18517111982824233
2010,South Korea,158,16,0.10126582278481013,0.06329802927437675,0.1581622756552968
2010,Spain,154,18,0.11688311688311688,0.07522597613265466,0.17718843462081865
2010,Switzerland,61,5,0.08196721311475409,0.03551956660687357,0.17794661802925354
2010,UNKNOWN,12241,1033,0.0843885303488277,0.07959374797798706,0.08944408446611234
2010,United Kingdom,881,61,0.06923950056753689,0.0542786510003512,0.08794056529678532
2010,United States,2371,283,0.11935892028679881,0.10692070059215297,0.13302856284359138
2011,Australia,313,14,0.04472843450479233,0.0268279595226099,0.07366854412060093
2011,Canada,359,37,0.10306406685236769,0.07570137043222219,0.13883160789306107
2011,China,989,241,0.243680485338726,0.21795013275025188,0.27139431847540596
2011,France,228,37,0.16228070175438597,0.12008692377868735,0.21566604817313517
2011,Germany,305,43,0.14098360655737704,0.10638116809932274,0.1845171431693528
2011,India,469,108,0.2302771855010661,0.1944577713971154,0.2704791640590034
2011,Italy,193,28,0.14507772020725387,0.10232033762370596,0.20168807188114646
2011,Japan,212,26,0.12264150943396226,0.0850841487000019,0.17363101717127433
2011,Netherlands,147,10,0.06802721088435375,0.037367568349765325,0.12068883740957284
2011,South Korea,219,45,0.2054794520547945,0.1572639780093886,0.2638491277713547
2011,Spain,215,19,0.08837209302325581,0.05730442391262212,0.13389087813924624
2011,Switzerland,88,13,0.14772727272727273,0.08841251043157243,0.23651110471869252
2011,UNKNOWN,13417,1300,0.09689200268316316,0.09200142412085703,0.1020133451326274
2011,United Kingdom,1104,87,0.07880434782608696,0.06433203083943703,0.09619767077509522
2011,United States,2772,344,0.1240981240981241,0.11234248594178174,0.13689417583594832
2012,Australia,311,24,0.07717041800643087,0.05240406870596702,0.11225486476130055
2012,Canada,397,34,0.08564231738035265,0.061932454646522986,0.11729416285970286
2012,China,1039,215,0.20692974013474494,0.183398578571002,0.23262003590881292
2012,France,260,41,0.1576923076923077,0.11841854590018724,0.20693388053189865
2012,Germany,302,31,0.10264900662251655,0.07326159221453368,0.14201811209558418
2012,India,894,266,0.2975391498881432,0.26848870033375616,0.32832207684344894
2012,Italy,235,31,0.13191489361702127,0.09451245473358,0.18115768706589463
2012,Japan,187,24,0.12834224598930483,0.08778364085352984,0.18386309220462593
2012,Netherlands,177,9,0.05084745762711865,0.02697857216204711,0.09379826166315511
2012,South Korea,228,35,0.15350877192982457,0.1124947580601665,0.2060050443319631
2012,Spain,238,41,0.1722689075630252,0.12959913561152825,0.22535017390425094
2012,Switzerland,55,13,0.23636363636363636,0.14366655869733186,0.3634836618916773
2012,UNKNOWN,16378,1577,0.0962877030162413,0.09186420122809832,0.10090054178071498
2012,United Kingdom,1195,92,0.07698744769874477,0.06319244152856875,0.09349337996902497
2012,United States,2793,342,0.12244897959183673,0.11080783530549922,0.13512725574207368
2013,Australia,369,33,0.08943089430894309,0.0643879635445,0.12293417343459087
2013,Canada,383,44,0.11488250652741515,0.08670082788789103,0.15071286375901127
2013,China,1401,375,0.2676659528907923,0.24514069678916234,0.2914618173860049
2013,France,293,39,0.13310580204778158,0.09892052964438913,0.17678711289933702
2013,Germany,412,47,0.11407766990291263,0.08688045978205736,0.1484050240130594
2013,India,1101,276,0.2506811989100817,0.22597739931401037,0.27711872763075357
2013,Italy,280,53,0.18928571428571428,0.14772474741227776,0.23925698273054197
2013,Japan,231,37,0.16017316017316016,0.11849533612252343,0.21296853406288335
2013,Netherlands,201,10,0.04975124378109453,0.027245288954974512,0.08914452274600297
