pub_year,n_docs,n_title,n_abstract,prev_title,prev_abstract,title_lo95,title_hi95,abstract_lo95,abstract_hi95
2010,524077,606,4329,0.0011563186325673517,0.008260236568290537,0.0010678921746071798,0.0012520580365783743,0.008018770472974151,0.008508911467677922
2011,570979,639,4698,0.0011191304759019158,0.008227973358039438,0.0010356990259260178,0.0012092746681094805,0.00799694956734684,0.008465614237205963
2012,632981,749,5380,0.0011832898617810013,0.008499465228814135,0.0011015714795250412,0.0012710626823917693,0.008276279876342003,0.008728616218821351
2013,710657,824,6088,0.0011594904433503083,0.008566720654267812,0.0010830187413933441,0.001241355084283964,0.008355093293168567,0.008783660875160623
2014,803147,1004,7075,0.0012500824880127797,0.008809097213835076,0.0011751547254424302,0.001329781277819973,0.008607074013391102,0.009015819132200396
2015,839031,1054,7602,0.0012562110339188897,0.009060451878416888,0.001182669313363295,0.0013343196774024027,0.008859939138325912,0.00926546007915949
2016,888746,1242,8743,0.0013974746440490308,0.009837456371111657,0.0013219346391823454,0.0014773248855643219,0.009634375589263645,0.010044774429050107
2017,962760,1315,9539,0.0013658648053512818,0.009907972911213593,0.0012940549183493842,0.001441653824959656,0.009712076776556266,0.010107780011902963
2018,1079775,1538,11246,0.0014243708179944895,0.010415132782292608,0.0013549875614417366,0.0014973015745999695,0.01022537948508359,0.010608369607858438
2019,1184945,1632,12726,0.0013772791142204913,0.010739738975226698,0.0013121016252180435,0.0014456895506419804,0.010555730086789715,0.010926920107189429
2020,1339313,2198,16763,0.001641139897843148,0.012516118338282388,0.001574002016588603,0.0017111365873792722,0.012329230459567046,0.012705802641561638
2021,1437120,2350,18808,0.0016352148741928302,0.013087285682476064,0.0015704744238487125,0.001702619601260381,0.01290277433064738,0.013274400087830634
2022,1536815,2358,20653,0.0015343421296642732,0.013438832910922915,0.0014736935489134042,0.0015974826570865157,0.013257999736674913,0.013622098518502284
2023,1702446,2932,25336,0.0017222279003269413,0.014882116672129395,0.0016610573015448159,0.0017856471568917212,0.014701326992160247,0.015065095621146711
2024,1690884,3288,28361,0.0019445449835707239,0.01677288329654784,0.001879265487751682,0.002012087502961118,0.01658041539397699,0.016967546846901285
2025,1079800,2131,16544,0.0019735136136321543,0.015321355806630858,0.0018915586615146636,0.0020590120764607824,0.015091402743897824,0.015554757408777166
