pub_year,lexeme,target,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,std_prev,std_lo95,std_hi95,L_star
2010,ammunition,any,573735,56,9.760603763061344e-05,7.51721481804969e-05,0.00012673410332262447,0.00012027057966650995,0.00011924004995999014,0.00012131001462450196,250
2011,ammunition,any,619953,49,7.903824967376559e-05,5.979081093083376e-05,0.0001044810415759487,0.0001235950419559308,0.00012261750145325503,0.00012458037470980447,250
2012,ammunition,any,692532,60,8.66385957616399e-05,6.731571858614149e-05,0.00011150745764084365,0.00012701138578146296,0.00012608981846114938,0.000127939687806173,250
2013,ammunition,any,784638,59,7.519391107746503e-05,5.829983569113366e-05,9.698306203729265e-05,0.00013052214991208532,0.0001296594009818821,0.0001313906387878652,250
2014,ammunition,any,888573,58,6.527319646219276e-05,5.049816639450821e-05,8.437082098979552e-05,0.00013412994322856484,0.00013332859060154076,0.00013493611162216233,250
2015,ammunition,any,928889,90,9.688994056340423e-05,7.883453243506436e-05,0.00011908007150565736,0.00013783744665764165,0.00013709959774427553,0.00013857926600981357,250
2016,ammunition,any,979382,120,0.00012252624614297587,0.00010247847461933464,0.0001464953705176197,0.00014164741515945733,0.0001409743787497831,0.00014232366430561732,250
2017,ammunition,any,1041137,128,0.0001229425138094218,0.00010341021273220213,0.00014616357063471555,0.00014556267976968186,0.0001449544264474373,0.00014617348505274017,250
2018,ammunition,any,1155793,133,0.00011507250865855737,9.710803276268795e-05,0.0001363598650039354,0.00014958614969784594,0.00014904041872927255,0.00015013387863162042,250
2019,ammunition,any,1250507,190,0.0001519383737955885,0.00013181680695774386,0.0001751309187996054,0.00015372081448341445,0.00015323167302700575,0.00015421151712138206,250
2020,ammunition,any,1408496,177,0.00012566595858277198,0.00010846724250230614,0.0001455913298082653,0.000157969746211177,0.00015752549940743402,0.00015841524566261432,250
2021,ammunition,any,1499230,191,0.00012739873134875903,0.00011056793923479934,0.0001467911518895401,0.00016233610178759266,0.00016191711189243737,0.0001627561757186062,250
2022,ammunition,any,1536944,219,0.0001424905526811647,0.0001248282090070237,0.00016265159147944736,0.00016682312527974106,0.00016640158787346244,0.00016724573036850813,250
2023,ammunition,any,1702456,267,0.0001568322470595422,0.00013911612483457597,0.0001768040782286711,0.00017143415031860683,0.00017097802433319224,0.0001718914929232161,250
2024,ammunition,any,1690890,263,0.00015553939049849487,0.00013784421972508289,0.00017550570552130203,0.00017617260256845186,0.00017565167990101898,0.00017669506984091857,250
2025,ammunition,any,1079802,131,0.00012131853802826814,0.00010224726541232103,0.0001439464933300299,0.0001810420022640771,0.00018043137320002158,0.00018165469748825677,250
2010,ammunition,title,573735,6,1.0457789746137154e-05,4.792907376447344e-06,2.2818015356994828e-05,1.4811555246336886e-05,1.468107051580423e-05,1.4943199702276025e-05,250
2011,ammunition,title,619953,9,1.451722953191613e-05,7.637813498339836e-06,2.7592798312151647e-05,1.5375516075437197e-05,1.5249466139903738e-05,1.550260790580055e-05,250
2012,ammunition,title,692532,12,1.7327719152327978e-05,9.912579218261429e-06,3.0289612717460395e-05,1.5960949783987735e-05,1.583973687563112e-05,1.6083090254018003e-05,250
2013,ammunition,title,784638,5,6.372365345547883e-06,2.721896557394848e-06,1.4918583581874594e-05,1.65686739279756e-05,1.645268421130556e-05,1.6685481346469655e-05,250
2014,ammunition,title,888573,8,9.003199512026586e-06,4.562152000210007e-06,1.7767328012030038e-05,1.719953718885821e-05,1.7089123125299705e-05,1.7310664633337412e-05,250
2015,ammunition,title,928889,13,1.3995213636936167e-05,8.179255297850947e-06,2.3946580416232387e-05,1.785442055839224e-05,1.7749874544877548e-05,1.7959582332464278e-05,250
2016,ammunition,title,979382,31,3.165261358693543e-05,2.230023801650167e-05,4.492705487821851e-05,1.853423856855217e-05,1.8435753442274803e-05,1.863324979968308e-05,250
2017,ammunition,title,1041137,25,2.4012209728402698e-05,1.6265398511128154e-05,3.544850673271264e-05,1.9239940568252945e-05,1.9147550621838626e-05,1.9332776302086298e-05,250
2018,ammunition,title,1155793,20,1.7304136640384566e-05,1.1202314890034331e-05,2.6729488735037376e-05,1.997251204865772e-05,1.9886006389360787e-05,2.0059394006686126e-05,250
2019,ammunition,title,1250507,27,2.1591242592004682e-05,1.4839556201385945e-05,3.141470797853708e-05,2.0732976018917418e-05,2.0651776889651327e-05,2.0814494402133895e-05,250
2020,ammunition,title,1408496,27,1.9169383512626234e-05,1.3175020150616329e-05,2.789098292453218e-05,2.1522394434260784e-05,2.144540311653642e-05,2.1599662153176325e-05,250
2021,ammunition,title,1499230,36,2.401232632751479e-05,1.73457000673203e-05,3.324111082463304e-05,2.2341869678425468e-05,2.2267312852834404e-05,2.2416676134300532e-05,250
2022,ammunition,title,1536944,35,2.2772462757263764e-05,1.637501970173212e-05,3.1669199385498723e-05,2.3192546102496023e-05,2.3117906100531363e-05,2.3267427086504657e-05,250
2023,ammunition,title,1702456,38,2.2320694338062187e-05,1.6263004860758934e-05,3.063469978775646e-05,2.407561162229444e-05,2.3997743975753532e-05,2.415373192691552e-05,250
2024,ammunition,title,1690890,42,2.483899011763036e-05,1.8377538545811347e-05,3.3572179802508375e-05,2.4992299376549e-05,2.490774478775423e-05,2.5077140996516373e-05,250
2025,ammunition,title,1079802,20,1.852191420278903e-05,1.1990679141750347e-05,2.861056335705314e-05,2.5943889448151977e-05,2.584922673487983e-05,2.6038898817671702e-05,250
2010,ammunition,abstract,573735,54,9.412010771523438e-05,7.214285442243199e-05,0.00012279158392990223,0.00011700354873477813,0.00011599977726688035,0.0001180160050317492,250
2011,ammunition,abstract,619953,45,7.258614765958065e-05,5.42518526956715e-05,9.711587574148189e-05,0.00012024903219437165,0.0001192982924105243,0.00012120734791702912,250
2012,ammunition,abstract,692532,59,8.519461916561256e-05,6.605371501625817e-05,0.00010988152403799232,0.00012358452882973726,0.00012268983963152264,0.00012448574154371025,250
2013,ammunition,abstract,784638,58,7.391943800835545e-05,5.718732143449488e-05,9.554664263487298e-05,0.00012701253452192281,0.0001261767846238418,0.00012785381942059755,250
2014,ammunition,abstract,888573,58,6.527319646219276e-05,5.049816639450821e-05,8.437082098979552e-05,0.00013053561432244728,0.0001297614335943136,0.0001313144133494772,250
2015,ammunition,abstract,928889,87,9.366027587795744e-05,7.593946988600888e-05,0.00011551583139653215,0.000134156404368299,0.00013344595766480685,0.00013487063287563432,250
2016,ammunition,abstract,979382,114,0.00011639993383582709,9.690490554713523e-05,0.00013981636303416286,0.0001378776138498433,0.00013723226277760172,0.00013852599934195865,250
2017,ammunition,abstract,1041137,124,0.00011910056025287738,9.990236756223749e-05,0.00014198753704261895,0.00014170202703308763,0.0001411217631191401,0.00014228467653439953,250
2018,ammunition,abstract,1155793,129,0.00011161168133048046,9.394241484766478e-05,0.00013260385126793021,0.00014563250533780665,0.0001451149910351738,0.00014615186494879322,250
2019,ammunition,abstract,1250507,187,0.00014953934684092132,0.00012958855192639855,0.00017256113466081402,0.00014967198947305553,0.0001492109751466647,0.00015013442797280534,250
2020,ammunition,abstract,1408496,175,0.00012424600424850338,0.00010715187801817607,0.00014406679336925637,0.00015382350163165666,0.00015340649310894766,0.000154241643543692,250
2021,ammunition,abstract,1499230,185,0.0001233966769608399,0.00010685115876668906,0.00014250384409059027,0.0001580901477452728,0.00015769603474522135,0.0001584852455540827,250
2022,ammunition,abstract,1536944,213,0.00013858670192277663,0.0001211840481214265,0.00015848807036289542,0.00016247511980173885,0.00016207432639678702,0.00016287690416675815,250
2023,ammunition,abstract,1702456,261,0.00015330792690090083,0.0001358039454239053,0.00017306763322672879,0.00016698169822635447,0.00016654116883120873,0.00016742339270069793,250
2024,ammunition,abstract,1690890,252,0.00014903394070578217,0.00013173526601285704,0.00016860378920692737,0.0001716132543289019,0.00017110304169151713,0.00017212498810885698,250
2025,ammunition,abstract,1079802,128,0.00011854025089784979,9.970732064594725e-05,0.00014092988360333485,0.00017637325281818616,0.0001757694374333342,0.0001769791421044376,250
2010,armed_with,any,573735,89,0.00015512388123436777,0.00012607199387298316,0.00019086917461812647,0.00019118242711746374,0.00018967575309724243,0.00019270106697432418,250
2011,armed_with,any,619953,73,0.00011775086175887527,9.366132161550076e-05,0.0001480352753090563,0.00018389365815334034,0.00018258179677780993,0.00018521494358696145,250
2012,armed_with,any,692532,90,0.00012995789364245985,0.00010574057583019089,0.0001597207155788339,0.00017688272201578942,0.0001757510028884016,0.00017802172736125878,250
2013,armed_with,any,784638,90,0.00011470257621986189,9.332792836711739e-05,0.00014097191279212117,0.00017013903196816814,0.0001691728997831284,0.00017111068070849817,250
2014,armed_with,any,888573,94,0.0001057875942663124,8.645549321294237e-05,0.00012944193947924721,0.00016365240440321873,0.000162837067805819,0.00016447182277647975,250
2015,armed_with,any,928889,111,0.00011949759336153189,9.923999327196613e-05,0.0001438897292760206,0.00015741304351299067,0.00015673291332180184,0.00015809612460915572,250
2016,armed_with,any,979382,119,0.00012150519409178442,0.00010154857798784722,0.00014538317105649776,0.00015141152654019066,0.00015084929932306882,0.00015197584890391488,250
2017,armed_with,any,1041137,110,0.00010565372280497187,8.766921068273945e-05,0.00012732711825490266,0.0001456387895890293,0.0001451740161473535,0.00014610505078169832,250
2018,armed_with,any,1155793,105,9.084671736201898e-05,7.505328201058836e-05,0.00010996319419883635,0.0001400861139744325,0.00013969339556739606,0.0001404799362710098,250
2019,armed_with,any,1250507,136,0.00010875588861157915,9.195001964696205e-05,0.000128633001047927,0.00013474511308930604,0.00013439335930662055,0.00013509778740858857,250
2020,armed_with,any,1408496,156,0.00011075643807295158,9.468719754325489e-05,0.00012955241507435733,0.00012960771977027087,0.0001292635293381417,0.0001299528265603013,250
2021,armed_with,any,1499230,142,9.471528718075279e-05,8.036592853229708e-05,0.00011162644174438481,0.00012466617414303918,0.00012430118310005126,0.00012503223679129636,250
2022,armed_with,any,1536944,163,0.00010605461226954268,9.097595645605573e-05,0.00012363214534369003,0.00011991301192930398,0.00011950864877016939,0.00012031874310565349,250
2023,armed_with,any,1702456,199,0.00011688995192827304,0.00010173926424918514,0.0001342965288044473,0.0001153410531976832,0.00011488770307836632,0.0001157961920421924,250
2024,armed_with,any,1690890,169,9.994736499713169e-05,8.597238392283707e-05,0.00011619374291441605,0.00011094339154192553,0.00011043738695450173,0.00011145171429451273,250
2025,armed_with,any,1079802,75,6.945717826045887e-05,5.541663049673476e-05,8.705477770833099e-05,0.00010671338367021571,0.00010615451028183178,0.00010727519905280766,250
2010,armed_with,title,573735,2,3.485929915379051e-06,9.559682377660207e-07,1.2711328194101814e-05,5.430077195272591e-06,5.2740602317264064e-06,5.590709418364338e-06,250
2011,armed_with,title,619953,1,1.6130255035462366e-06,2.8473866585950294e-07,9.13762500537378e-06,5.23795707005707e-06,5.09780595560213e-06,5.381961259607298e-06,250
2012,armed_with,title,692532,3,4.3319297880819945e-06,1.473248122184341e-06,1.2737509258925608e-05,5.052634261839271e-06,4.92709010543534e-06,5.181377315199433e-06,250
2013,armed_with,title,784638,4,5.097892276438307e-06,1.9824724785290877e-06,1.310907400168189e-05,4.873868280146533e-06,4.761665309031866e-06,4.988715167434248e-06,250
2014,armed_with,title,888573,6,6.75239963401994e-06,3.094688876429848e-06,1.473321084092765e-05,4.701427142942611e-06,4.601275702922086e-06,4.80375847032533e-06,250
2015,armed_with,title,928889,4,4.306219580595744e-06,1.6746059323455657e-06,1.1073321807195614e-05,4.535087075614859e-06,4.445654412382553e-06,4.626318836012286e-06,250
2016,armed_with,title,979382,5,5.105260255957328e-06,2.18066393604613e-06,1.1952130550830373e-05,4.374632220609877e-06,4.294523034015833e-06,4.456235741528827e-06,250
2017,armed_with,title,1041137,1,9.60488389136108e-07,1.6954980553338762e-07,5.441082865939972e-06,4.219854357341009e-06,4.147595997706138e-06,4.293371578283264e-06,250
2018,armed_with,title,1155793,4,3.4608273280769136e-06,1.345848958139313e-06,8.899428062818889e-06,4.070552632004346e-06,4.004593869962637e-06,4.1375977814377385e-06,250
2019,armed_with,title,1250507,4,3.198702606222916e-06,1.2439136567053943e-06,8.225383552169754e-06,3.926533296952783e-06,3.86526864446894e-06,3.988768992595039e-06,250
2020,armed_with,title,1408496,4,2.83990866853722e-06,1.1043855570811114e-06,7.302756901969231e-06,3.7876094592900373e-06,3.729437800147661e-06,3.846688474739635e-06,250
2021,armed_with,title,1499230,3,2.0010271939595658e-06,6.805300522772227e-07,5.8837953708455306e-06,3.653600838358487e-06,3.5970130633029253e-06,3.7110788421526756e-06,250
2022,armed_with,title,1536944,6,3.903850758388074e-06,1.7891710078494823e-06,8.517918402327204e-06,3.5243335318062784e-06,3.4680046733247156e-06,3.5815773051257805e-06,250
2023,armed_with,title,1702456,9,5.286480237962097e-06,2.781321955565012e-06,1.0048031365320605e-05,3.3996397899301864e-06,3.3424940898876086e-06,3.4577624908750027e-06,250
2024,armed_with,title,1690890,5,2.9570226330512333e-06,1.2630639606197104e-06,6.922818843680049e-06,3.2793577980015313e-06,3.220589393265219e-06,3.3391985883917744e-06,250
2025,armed_with,title,1079802,1,9.260957101394515e-07,1.634786517653264e-07,5.246252057602108e-06,3.1633314662927344e-06,3.102385753624058e-06,3.225474440748627e-06,250
2010,armed_with,abstract,573735,88,0.00015338091627667825,0.00012450958719730589,0.0001889456747184102,0.0001872736666513843,0.00018578283648761,0.00018877645784972733,250
2011,armed_with,abstract,619953,72,0.00011613783625532904,9.223270405699986e-05,0.00014623786185014994,0.00018012858229326406,0.00017883182964762337,0.0001814347362981481,250
2012,armed_with,abstract,692532,89,0.00012851391704643252,0.00010444535959265309,0.000158127994643637,0.0001732560583256795,0.00017213882738251128,0.00017438053915720358,250
2013,armed_with,abstract,784638,87,0.00011087915701253316,8.990061805585736e-05,0.0001367524221262058,0.00016664570104327707,0.00016569356282695866,0.00016760330969066512,250
2014,armed_with,abstract,888573,91,0.00010241139444930242,8.342150527464806e-05,0.00012572355697521769,0.00016028751282528878,0.0001594858151515399,0.00016109323979534375,250
2015,armed_with,abstract,928889,108,0.00011626792867608509,9.631143690190626e-05,0.00014035898298789978,0.0001541718770613113,0.0001535051776103502,0.0001548414716545019,250
2016,armed_with,abstract,979382,118,0.00012048414204059294,0.00010061906221803222,0.0001442705907337034,0.00014828954364928842,0.0001477406688456376,0.0001488404572869692,250
2017,armed_with,abstract,1041137,110,0.00010565372280497187,8.766921068273945e-05,0.00012732711825490266,0.00014263161504410516,0.00014218015370239822,0.00014308450969538797,250
2018,armed_with,abstract,1155793,102,8.825109686596129e-05,7.270651848470652e-05,0.00010711873398644691,0.00013718953283597396,0.00013680987175344352,0.00013757024737103162,250
2019,armed_with,abstract,1250507,133,0.00010635686165691196,8.975296788560576e-05,0.0001260320136391466,0.00013195506483860614,0.00013161549626705923,0.00013229550938267506,250
2020,armed_with,abstract,1408496,153,0.00010862650657154867,9.272465284695637e-05,0.00012725510838594738,0.00012692029266787804,0.0001265866449486199,0.000127254819679203,250
2021,armed_with,abstract,1499230,140,9.338126905144641e-05,7.91416213526932e-05,0.00011018271950163534,0.00012207759979245532,0.00012172119511901191,0.00012243504790567937,250
2022,armed_with,abstract,1536944,160,0.00010410268689034864,8.917408821586812e-05,0.00012153017258280307,0.00011741966003850395,0.00011702217712722869,0.00011781849289943836,250
2023,armed_with,abstract,1702456,194,0.00011395301846273854,9.900712547348926e-05,0.00013115481390296564,0.00011293942653131626,0.00011249170270133088,0.0001133889321273431,250
2024,armed_with,abstract,1690890,166,9.817315141730095e-05,8.433211544943153e-05,0.00011428559228965781,0.00010863012105729584,0.00010812889506704715,0.00010913367020152481,250
2025,armed_with,abstract,1079802,74,6.853108255031942e-05,5.459500293884517e-05,8.602422043519762e-05,0.00010448522383039607,0.00010393058268469507,0.0001050428245908246,250
2010,arms_race,any,573735,43,7.49474931806496e-05,5.564575747932746e-05,0.00010094370854367732,8.118820514309477e-05,8.021610217902905e-05,8.217208761887353e-05,250
2011,arms_race,any,619953,39,6.290799463830322e-05,4.6021513378858805e-05,8.599002895385091e-05,8.06796106312114e-05,7.978789749121287e-05,8.158128878438007e-05,250
2012,arms_race,any,692532,42,6.064701703314793e-05,4.4870878521388865e-05,8.196942859637253e-05,8.017420189781469e-05,7.936009911354507e-05,8.099665534778261e-05,250
2013,arms_race,any,784638,30,3.82341920732873e-05,2.67832928750817e-05,5.458052874064926e-05,7.967195899073889e-05,7.893217908030885e-05,8.041867181886744e-05,250
2014,arms_race,any,888573,59,6.639859640119607e-05,5.1480550272581e-05,8.563922725916399e-05,7.91728620827369e-05,7.850341916260369e-05,7.98480132642566e-05,250
2015,arms_race,any,928889,58,6.244018391863829e-05,4.8306411913336266e-05,8.07089636734578e-05,7.867689147069834e-05,7.807283730098344e-05,7.928561887274927e-05,250
2016,arms_race,any,979382,47,4.798944640599889e-05,3.6091625769209315e-05,6.380920460726083e-05,7.818402757487238e-05,7.7639099090888e-05,7.87327804678833e-05,250
2017,arms_race,any,1041137,43,4.130100073285264e-05,3.066436096594469e-05,5.562699870717166e-05,7.769425093809668e-05,7.720043934151398e-05,7.819122094707452e-05,250
2018,arms_race,any,1155793,83,7.181216705759596e-05,5.793599389160892e-05,8.901150823715975e-05,7.720754222502995e-05,7.675466571322899e-05,7.76630906422237e-05,250
2019,arms_race,any,1250507,88,7.037145733690415e-05,5.712483644221281e-05,8.668955753048936e-05,7.672388222138929e-05,7.629938021755706e-05,7.715074581776615e-05,250
2020,arms_race,any,1408496,75,5.3248287535072875e-05,4.248425372023474e-05,6.67393715102491e-05,7.624325183319355e-05,7.583254371906179e-05,7.665618416683989e-05,250
2021,arms_race,any,1499230,76,5.0692688913642335e-05,4.050533742984502e-05,6.34420619091757e-05,7.576563208601016e-05,7.535325718773891e-05,7.618026355695532e-05,250
2022,arms_race,any,1536944,100,6.50641793064679e-05,5.350073229791393e-05,7.912670847926592e-05,7.529100412420664e-05,7.486224246380696e-05,7.572222126328052e-05,250
2023,arms_race,any,1702456,116,6.813685640040036e-05,5.6814723365708575e-05,8.171509864677655e-05,7.48193492102081e-05,7.436158055993596e-05,7.527993566450416e-05,250
2024,arms_race,any,1690890,115,6.801152056017837e-05,5.666564475523823e-05,8.162893831506685e-05,7.435064872375808e-05,7.385393533358097e-05,7.485070256860459e-05,250
2025,arms_race,any,1079802,74,6.853108255031942e-05,5.459500293884517e-05,8.602422043519762e-05,7.388488416118406e-05,7.334185217151055e-05,7.443193652643712e-05,250
2010,arms_race,title,573735,8,1.3943719661516205e-05,7.065646006940884e-06,2.7517089877288457e-05,8.010924487341974e-06,7.86263307739208e-06,8.162012691007361e-06,250
2011,arms_race,title,619953,5,8.065127517731183e-06,3.4449451665810193e-06,1.8881542574281366e-05,8.02593491172449e-06,7.885152551776922e-06,8.169230794502405e-06,250
2012,arms_race,title,692532,5,7.2198829801366575e-06,3.08390627630979e-06,1.6902725450269462e-05,8.0409734615785e-06,7.907563953178289e-06,8.176633720210676e-06,250
2013,arms_race,title,784638,7,8.921311483767037e-06,4.32157113351997e-06,1.8416776323866392e-05,8.056040189602696e-06,7.929834222621546e-06,8.184254750369677e-06,250
2014,arms_race,title,888573,11,1.2379399329036556e-05,6.912711724783275e-06,2.216913872978059e-05,8.071135148594462e-06,7.951922863305058e-06,8.192134605714406e-06,250
2015,arms_race,title,928889,5,5.38277447574468e-06,2.2992016361834736e-06,1.2601826989417945e-05,8.08625839145016e-06,7.973780265278781e-06,8.200323120801001e-06,250
2016,arms_race,title,979382,14,1.4294728716680518e-05,8.515446572755634e-06,2.399621274760522e-05,8.101409971165204e-06,7.99534583545423e-06,8.208881113998602e-06,250
2017,arms_race,title,1041137,10,9.604883891361079e-06,5.2173676420478476e-06,1.7681992244063297e-05,8.116589940834351e-06,8.01654611269415e-06,8.217882272401929e-06,250
2018,arms_race,title,1155793,11,9.517275152211512e-06,5.314486429334869e-06,1.704364598092299e-05,8.131798353651795e-06,8.03729325883017e-06,8.227414660815468e-06,250
2019,arms_race,title,1250507,10,7.99675651555729e-06,4.343832613619369e-06,1.472154293552914e-05,8.147035262911445e-06,8.057484636591764e-06,8.237581143826776e-06,250
2020,arms_race,title,1408496,13,9.229703172745965e-06,5.394132978982842e-06,1.5792563634192874e-05,8.162300722007005e-06,8.077004572078965e-06,8.248497623335609e-06,250
2021,arms_race,title,1499230,8,5.336072517225509e-06,2.703923095949701e-06,1.0530475883056474e-05,8.177594784432282e-06,8.095729661534935e-06,8.260287731783648e-06,250
2022,arms_race,title,1536944,15,9.759626895970184e-06,5.914726334552628e-06,1.610388607884776e-05,8.192917503781266e-06,8.113538707201786e-06,8.273072896300545e-06,250
2023,arms_race,title,1702456,18,1.0572960475924194e-05,6.688206448397615e-06,1.671408349140759e-05,8.208268933748362e-06,8.130327048612e-06,8.286958007414673e-06,250
2024,arms_race,title,1690890,15,8.8710678991537e-06,5.3762231432617205e-06,1.4637723321583975e-05,8.223649128128622e-06,8.146022652091938e-06,8.302015329551789e-06,250
2025,arms_race,title,1079802,11,1.0187052811533966e-05,5.6884936910671205e-06,1.8243085328529813e-05,8.239058140817834e-06,8.160598997443526e-06,8.318271614355237e-06,250
2010,arms_race,abstract,573735,42,7.320452822296008e-05,5.4161873359976893e-05,9.894168608763431e-05,7.663932011648777e-05,7.572603494798967e-05,7.756361900173004e-05,250
