pub_year,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,target
2010,573735,12039,0.0209835551256242,0.02061587526880344,0.021357649475640995,any
2011,619953,13285,0.02142904381461175,0.02107153049384352,0.021792487905065945,any
2012,692532,15406,0.02224590343839707,0.021901193800147135,0.02259591322886583,any
2013,784638,17211,0.021934955992444924,0.02161319881809244,0.022261394199806696,any
2014,888573,19974,0.02247873838165238,0.022172583779742197,0.022789021784082514,any
2015,928889,21634,0.023290188601652082,0.022985439032088606,0.023598881061133913,any
2016,979382,23739,0.024238754643234203,0.023936037303750237,0.024545204152727488,any
2017,1041137,25237,0.024239845476627955,0.02394618251324565,0.02453701922927018,any
2018,1155793,28712,0.024841818560936084,0.024559642968529284,0.025127152667922335,any
2019,1250507,32577,0.026051033700730985,0.02577330542342231,0.026331673836740583,any
2020,1408496,41074,0.02916160216287444,0.028885008731053353,0.029440763868064476,any
2021,1499230,44889,0.029941369903216986,0.02966976924109182,0.030215379410207965,any
2022,1536944,47180,0.030697279796791554,0.03042574205814144,0.030971163492832625,any
2023,1702456,54641,0.03209539629805411,0.03183169307186168,0.03236121109977198,any
2024,1690890,55528,0.032839510553613775,0.03257195027940627,0.033109193465847224,any
2025,1079802,33020,0.030579680348804688,0.030256597067498156,0.030906103598758,any
