pub_year,std_prev,std_lo95,std_hi95,L_star,target
2010,0.027634321305397395,0.02760631370487945,0.02766235651230257,250,any
2011,0.02819324358442395,0.02816659575371664,0.028219915894018833,250,any
2012,0.028763136037571125,0.028737894305956163,0.028788399282937423,250,any
2013,0.029344200337186873,0.02932040714289725,0.02936801225523399,250,any
2014,0.029936641306646184,0.02991433319247033,0.029958965542962124,250,any
2015,0.030540666946412273,0.030519871657471657,0.03056147595794864,250,any
2016,0.031156488459243268,0.03113722067921577,0.031175767778562215,250,any
2017,0.03178432027448322,0.03176657528624259,0.03180207484959541,250,any
2018,0.03242438007137353,0.0324081242825349,0.032440643740677066,250,any
2019,0.03307688880131945,0.03306204571917412,0.03309173831915624,250,any
2020,0.033742070709042886,0.033728501003299015,0.033755645683455265,250,any
2021,0.034420153352551094,0.034407629387044246,0.03443268171407446,250,any
2022,0.035111367621848445,0.03509954870762609,0.035123190370935455,250,any
2023,0.035815947756315206,0.035804372944426746,0.035827526171059325,250,any
2024,0.03653413136067566,0.03652225073785108,0.03654601570165057,250,any
2025,0.03726615941947484,0.0372534022718176,0.03727892076656341,250,any
