pub_year,std_prev,std_lo95,std_hi95,L_star,target
2010,0.02690873127767112,0.02688271701054887,0.02693477002188208,250,abstract
2011,0.02745007394593816,0.027425376662903723,0.027474792841248763,250,abstract
2012,0.02800199381029492,0.027978657940696143,0.028025348582228465,250,abstract
2013,0.028564684818623468,0.028542750943652575,0.028586635052841237,250,abstract
2014,0.029138343959172124,0.02911784677501011,0.029158855138754488,250,abstract
2015,0.02972317128686398,0.02970413661482364,0.029742217782600323,250,abstract
2016,0.03031936994885685,0.03030181027471434,0.030336939480354107,250,abstract
2017,0.03092714620929994,0.03091105393791329,0.030943246590811362,250,abstract
2018,0.031546709473228914,0.03153204666749528,0.03156137887515067,250,abstract
2019,0.032178272309538514,0.032164955254622735,0.032191594694641563,250,abstract
2020,0.032822050472971695,0.03280992754738949,0.03283417772578517,250,abstract
2021,0.03347826292505959,0.033467086766986134,0.03348944268603457,250,abstract
2022,0.03414713185394612,0.034136534904942846,0.03415773197620665,250,abstract
2023,0.03482888269302781,0.03481837804042199,0.034839390400474166,250,abstract
2024,0.03552374413833757,0.03551277268557658,0.03553471885577934,250,abstract
2025,0.03623194816459818,0.03621995741873759,0.036243942730757754,250,abstract
