pub_year,std_prev,std_lo95,std_hi95,L_star,target
2010,0.0026934178621702814,0.0026900723181864446,0.0026967675556333133,250,title
2011,0.0027946667288089814,0.0027914092496027043,0.002797927998716455,250,title
2012,0.0028997105976862007,0.0028965499494174704,0.00290287468474058,250,title
2013,0.003008690865382061,0.0030056356506439974,0.0030117491763502558,250,title
2014,0.0031217541318435274,0.0031188125308774304,0.003124698498571753,250,title
2015,0.0032390523868944887,0.003236231785912164,0.0032418754382311163,250,title
2016,0.0033607432030479984,0.0033580496601620814,0.003363438899174474,250,title
2017,0.0034869899348036444,0.0034844274134753664,0.0034895543340649217,250,title
2018,0.0036179619246158403,0.0036155312004145204,0.0036203942770569367,250,title
2019,0.0037538347157215738,0.00375153184437323,0.0037561389953537972,250,title
2020,0.003894790272018564,0.003892604525300563,0.003896977241259471,250,title
2021,0.004041017205187062,0.0040389285051645974,0.004043106980979378,250,title
2022,0.004192711009250386,0.00419068722760491,0.004194735764110821,250,title
2023,0.004350074302771018,0.00434806937252199,0.00435208015346871,250,title
2024,0.004513317078880382,0.004511271332732061,0.0045153637485143925,250,title
2025,0.004682656963341249,0.004680500596002521,0.004684814319470289,250,title
