country,n_docs
United States,2965068
China,2417451
UNKNOWN,1568615
United Kingdom,899614
Germany,592410
Japan,576523
Italy,431718
India,416269
South Korea,363485
France,347251
Canada,335044
Spain,296038
Australia,247216
Brazil,240797
Netherlands,208834
Turkey,167974
Iran,158360
Poland,128828
Sweden,121242
Taiwan,116299
Switzerland,108650
Denmark,79648
Israel,73624
Belgium,72226
Russia,66974
Saudi Arabia,66969
Mexico,59748
Portugal,56672
Norway,53264
Austria,51435
Greece,50179
Finland,45093
South Africa,43483
Singapore,43174
Czechia,38533
Ireland,37369
New Zealand,33864
Hong Kong,12039
United Arab Emirates,9424
