country,n_years,N_total,OR_per_year,lo95,hi95,p,target
United States,16,2965068,1.0529363716099607,1.052919096518165,1.0529536469851863,0.0,union
China,16,2417451,1.1212279145491428,1.1211854720091858,1.1212703586957644,0.0,union
UNKNOWN,16,1568615,1.060522576749808,1.0604945881894408,1.0605505660488492,0.0,union
United Kingdom,16,899614,1.062034006215558,1.0619906775455485,1.0620773366533547,0.0,union
Germany,16,592410,1.0552515598106513,1.0552036392692494,1.055299482528295,0.0,union
Japan,16,576523,1.068199931911375,1.0680852707855795,1.0683146053462755,0.0,union
Italy,16,431718,1.0665080129264863,1.0664307163539024,1.066585315101647,0.0,union
India,16,416269,1.1010981582134847,1.1010132284987393,1.1011830944795196,0.0,union
South Korea,16,363485,1.1445426284234061,1.1443692520254738,1.144716031088538,0.0,union
France,16,347251,1.0621806474259812,1.0621223760999607,1.0622389219489474,0.0,union
Canada,16,335044,1.056109000566048,1.056006893478454,1.0562111175265487,0.0,union
Spain,16,296038,1.0730234786933164,1.0728765954061998,1.0731703820896425,0.0,union
Australia,16,247216,1.0651458891814465,1.0649959514686302,1.0652958480035615,0.0,union
Brazil,16,240797,1.103270246905786,1.1030863264600652,1.10345419801704,0.0,union
Netherlands,16,208834,1.0601848750844014,1.0600732014126562,1.0602965605204369,0.0,union
Turkey,16,167974,1.1261259845336251,1.1257953542558456,1.1264567119128719,0.0,union
Iran,16,158360,1.124762777560646,1.1243899095080325,1.1251357692630568,0.0,union
Poland,16,128828,1.106448024805907,1.1061111853160979,1.1067849668720602,0.0,union
Sweden,16,121242,1.0745342937621645,1.0743090074583117,1.0747596273093323,0.0,union
Taiwan,16,116299,1.096406009836249,1.0962694490620732,1.096542587621612,0.0,union
Switzerland,16,108650,1.03993226931306,1.0396717560623012,1.0401928478413,0.0,union
Denmark,16,79648,1.0351471310183895,1.0349017526606947,1.0353925675560403,0.0,union
Israel,16,73624,1.060503628557091,1.0601495411267454,1.060857834251798,0.0,union
Belgium,16,72226,1.0686454633626403,1.0683700537353613,1.0689209439863523,0.0,union
Russia,16,66974,1.1333438692353515,1.1327679224274607,1.1339201088787991,0.0,union
Saudi Arabia,16,66969,1.1410640967392074,1.1404213755897685,1.1417071801148242,0.0,union
Mexico,16,59748,1.0809682240852099,1.0804909643246696,1.0814456946544346,0.0,union
Portugal,16,56672,1.0672100774481963,1.0669172326900058,1.067503002585679,0.0,union
Norway,16,53264,1.107532279374031,1.1070236702562013,1.1080411221663897,0.0,union
Austria,16,51435,1.0562017832386894,1.0558210291352241,1.0565826746511147,0.0,union
Greece,16,50179,1.0807022263050245,1.080291596906598,1.0811130117877006,0.0,union
Finland,16,45093,1.063737797210865,1.0632654425856969,1.0642103616791103,0.0,union
South Africa,16,43483,1.0845413304369753,1.084119025157941,1.0849638002198552,0.0,union
Singapore,16,43174,1.0876680992201193,1.0871638006825763,1.088172631684707,0.0,union
Czechia,16,38533,1.0803970724359333,1.0799316118966702,1.0808627335930052,0.0,union
Ireland,16,37369,1.0711295598421542,1.07059727002352,1.0716621143097453,0.0,union
New Zealand,16,33864,1.0812032865677337,1.080501387425962,1.081905641666722,0.0,union
Hong Kong,16,12039,1.0360153207107037,1.034511833853896,1.0375209926297355,0.0,union
United Arab Emirates,6,6728,0.9998944922479436,0.9986191203820216,1.0011714929364697,0.871282180092448,union
