country,n_years,N_total,OR_per_year,lo95,hi95,p,target
United States,16,2965068,1.0525429555943175,1.052524733556425,1.052561177947683,0.0,abstract
China,16,2417451,1.1180450552847818,1.1179999115438914,1.118090200848532,0.0,abstract
UNKNOWN,16,1568615,1.0629293177977022,1.062900524066447,1.0629581123089726,0.0,abstract
United Kingdom,16,899614,1.0617273104367793,1.061681076036812,1.0617735468501759,0.0,abstract
Germany,16,592410,1.055927036148852,1.055875971362402,1.0559781034049218,0.0,abstract
Japan,16,576523,1.066540669312964,1.0664240715828956,1.0666572797912728,0.0,abstract
Italy,16,431718,1.0639108246917552,1.0638364081778304,1.0639852464111963,0.0,abstract
India,16,416269,1.097327406631642,1.0972343134711182,1.0974205076905121,0.0,abstract
South Korea,16,363485,1.1423854399377422,1.1422097580896762,1.1425611488072127,0.0,abstract
France,16,347251,1.060835595557955,1.060776420574254,1.0608947738427086,0.0,abstract
Canada,16,335044,1.0562649319571817,1.0561539345519733,1.0563759410277582,0.0,abstract
Spain,16,296038,1.0711154954129587,1.070975857706742,1.0712551513256443,0.0,abstract
Australia,16,247216,1.0636502080890515,1.0634853727466158,1.0638150689802073,0.0,abstract
Brazil,16,240797,1.1005882721167306,1.100397679150393,1.1007788980944782,0.0,abstract
Netherlands,16,208834,1.062549331176425,1.0624485211963284,1.0626501507218338,0.0,abstract
Turkey,16,167974,1.1284716329983342,1.1280952988555497,1.1288480926867062,0.0,abstract
Iran,16,158360,1.1219397736832712,1.1215513877384329,1.1223282941236339,0.0,abstract
Poland,16,128828,1.1030327953532866,1.1026741966245426,1.10339151070129,0.0,abstract
Sweden,16,121242,1.076827371809066,1.0765940162638858,1.0770607779348826,0.0,abstract
Taiwan,16,116299,1.0936307826580924,1.0934551354058866,1.0938064581254083,0.0,abstract
Switzerland,16,108650,1.0363933732654362,1.0361037988317985,1.0366830286304949,0.0,abstract
Denmark,16,79648,1.041589071357339,1.0412922765707255,1.0418859507380163,0.0,abstract
Israel,16,73624,1.0581040814614453,1.0577838721038353,1.058424387751931,0.0,abstract
Belgium,16,72226,1.0685650105362827,1.0682806745096662,1.068849422242426,0.0,abstract
Russia,16,66974,1.1381499319194797,1.1375130394353352,1.1387871809991288,0.0,abstract
Saudi Arabia,16,66969,1.131529932286287,1.1308762212315313,1.132184021223374,0.0,abstract
Mexico,16,59748,1.074621193510748,1.0741183751553824,1.075124247246407,0.0,abstract
Portugal,16,56672,1.0631182367630516,1.062805197938868,1.063431367789744,0.0,abstract
Norway,16,53264,1.1142851890718959,1.1137505337288403,1.1148201010759606,0.0,abstract
Austria,16,51435,1.053722634111322,1.0533482931515368,1.0540971081051236,0.0,abstract
Greece,16,50179,1.081108682256459,1.080715305266195,1.0815022024347167,0.0,abstract
Finland,16,45093,1.0633947035093514,1.0629466946724295,1.063842901172222,0.0,abstract
South Africa,16,43483,1.0798513717365914,1.0794533808500448,1.0802495093610598,0.0,abstract
Singapore,16,43174,1.086527470986638,1.086065006021816,1.0869901328769132,0.0,abstract
Czechia,16,38533,1.0804430750710317,1.0800004809442731,1.0808858505769325,0.0,abstract
Ireland,16,37369,1.068210965473192,1.0677028014682395,1.0687193713344505,0.0,abstract
New Zealand,16,33864,1.0810254655654674,1.0802129541587633,1.0818385881246149,0.0,abstract
Hong Kong,16,12039,1.0333294053273132,1.0318268063961138,1.0348341924198727,0.0,abstract
United Arab Emirates,6,6728,1.001598313157147,1.000212877289628,1.0029856680486926,0.023736958927540745,abstract
