country,n_years,N_total,OR_per_year,lo95,hi95,p,target
United States,16,2965068,1.0396170977583474,1.0395901509736958,1.0396440452414757,0.0,title
China,16,2417451,1.1312218627637658,1.1311691447390766,1.1312745832453734,0.0,title
UNKNOWN,16,1568615,1.0354284848410444,1.035397194888542,1.0354597757391366,0.0,title
United Kingdom,16,899614,1.0672771936895271,1.0672286985088146,1.0673256910738746,0.0,title
Germany,16,592410,1.0318195387677536,1.0316561770117931,1.0319829263918896,0.0,title
Japan,16,576523,1.0473208722356173,1.0471321371679327,1.047509641320905,0.0,title
Italy,16,431718,1.0723890353399914,1.0721744423223036,1.072603671307932,0.0,title
India,16,416269,1.1321513116245325,1.1319865832656086,1.1323160639549705,0.0,title
South Korea,16,363485,1.1568015383093317,1.1564021855097044,1.157201029021755,0.0,title
France,16,347251,1.0712147445252251,1.0710441432647975,1.0713853729598735,0.0,title
Canada,16,335044,1.0536522788078608,1.0534419158480373,1.0538626837752922,0.0,title
Spain,16,296038,1.0998292791544486,1.0994992905582233,1.1001593667889131,0.0,title
Australia,16,247216,1.0915889666896348,1.0913457883352695,1.091832199230045,0.0,title
Brazil,16,240797,1.1152916903864964,1.1149862631456813,1.1155972012927367,0.0,title
Netherlands,16,208834,1.0537451159439197,1.0534673645999266,1.0540229405182866,0.0,title
Turkey,16,167974,1.0593325411645906,1.0587137435210903,1.0599517004833086,0.0,title
Iran,16,158360,1.1052075037776092,1.1043676497196262,1.1060479965312646,0.0,title
Poland,16,128828,1.1290427358176278,1.128482269236311,1.1296034807575839,0.0,title
Sweden,16,121242,1.0682304501564377,1.0676976533683458,1.068763512817941,0.0,title
Taiwan,16,116299,1.158802670940263,1.1580041715801068,1.159601720903987,0.0,title
Switzerland,16,108650,1.0683978207871554,1.0678090393597464,1.0689869268639696,0.0,title
Denmark,16,79648,1.032117297173711,1.0312973543998838,1.0329378918508418,0.0,title
Israel,16,73624,1.0894305096791488,1.0886099269337672,1.0902517109711976,0.0,title
Belgium,16,72226,1.058634706629209,1.0579466179234727,1.0593232428679862,0.0,title
Russia,16,66974,1.0480378026802255,1.0469680480217074,1.049108650375949,0.0,title
Saudi Arabia,16,66969,1.1698757904616475,1.1675854204068672,1.1721706533739917,0.0,title
Mexico,16,59748,1.0972015222897298,1.0960790553319548,1.098325138737649,0.0,title
Portugal,16,56672,1.1100894682431355,1.1087533235837823,1.1114272230735813,0.0,title
Norway,16,53264,1.1173319298802926,1.1161853164906188,1.1184797211409223,0.0,title
Austria,16,51435,1.0239684055420657,1.0227450749815772,1.0251931993583516,0.0,title
Greece,16,50179,1.047206641302366,1.0462560203146178,1.0481581260177724,0.0,title
Finland,16,45093,1.0698840338928748,1.067891311514487,1.0718804747606203,0.0,title
South Africa,16,43483,1.1099152256355636,1.108746791183209,1.111084891423224,0.0,title
Singapore,16,43174,1.0874177537024516,1.0863389392003178,1.088497639546768,0.0,title
Czechia,16,38533,1.0433611082922332,1.0417892215703586,1.0449353667298205,0.0,title
Ireland,16,37369,1.1243345069454482,1.1228357195293337,1.1258352949781087,0.0,title
New Zealand,16,33864,1.0662798402641227,1.064511961445493,1.068050655071854,0.0,title
Hong Kong,16,12039,1.0093635688168718,1.0062005339518976,1.0125365468186458,5.883151389487085e-09,title
United Arab Emirates,6,6728,1.0642704151774178,1.0582375026964705,1.0703377207250537,2.6083831794141884e-102,title
