doc_type,measure,n_years,N_total,OR_per_year,lo95,hi95,p
Research Article,abstract,16,10931137,1.0711490214704453,1.0711385441694947,1.0711594988738795,0.0
Review,abstract,16,1573605,1.0460144071713773,1.0459949802702584,1.0460338344333053,0.0
Case Report,abstract,16,501120,1.038678256999651,1.0385639701021814,1.0387925564736162,0.0
Clinical Trial,abstract,16,388502,1.0364516987440497,1.0363718883333215,1.0365315153009327,0.0
Other/Unclear,abstract,13,45519,0.8694847904334517,0.8664865971196714,0.8724933580140434,0.0
Meta-analysis,abstract,16,39120,1.1052095429358786,1.1043275096087835,1.1060922807485392,0.0
Comment/Reply,abstract,16,37772,1.0171250270418828,1.016581823757181,1.0176685205834055,0.0
Editorial,abstract,16,35907,0.9850881279546139,0.9843137034457068,0.9858631617543576,7.980904144122246e-307
Letter/Correspondence,abstract,16,25693,1.08628231804748,1.0850015412025213,1.087564606769855,0.0
Retraction,abstract,6,11784,1367168723.4461622,1367168723.4461622,1367168723.4461622,0.0
