pub_year,country,n_hits,n_metaphor,share_metaphor,lo95,hi95
2010,Australia,216,50,0.23148148148148148,0.1802221021237707,0.29212492185312494
2010,Canada,281,53,0.18861209964412812,0.1471875978791547,0.23843554587057103
2010,China,364,91,0.25,0.2082833374982765,0.29693828547077367
2010,France,297,87,0.29292929292929293,0.24407835666290423,0.3470684205061635
2010,Germany,413,115,0.2784503631961259,0.2374138415379768,0.3235703261171938
2010,India,200,46,0.23,0.17709343259068805,0.2930830436530359
2010,Italy,310,83,0.267741935483871,0.2215151154091298,0.31965449124162504
2010,Japan,357,109,0.30532212885154064,0.25983117866586614,0.35495809622986996
2010,Netherlands,186,45,0.24193548387096775,0.18601466741383746,0.3083002172464605
2010,South Korea,127,50,0.3937007874015748,0.313048778850589,0.480594610306353
2010,Spain,143,39,0.2727272727272727,0.20639404741346318,0.3509516741421193
2010,Switzerland,96,16,0.16666666666666666,0.10527382371950136,0.2537099015189491
2010,UNKNOWN,1940,440,0.2268041237113402,0.2087201257320955,0.24596791212718053
2010,United Kingdom,645,135,0.20930232558139536,0.1796741934492653,0.2423726025714705
2010,United States,2724,601,0.22063142437591776,0.20545864977235057,0.23659103567454698
2011,Australia,251,46,0.18326693227091634,0.14030182566989485,0.235780854378362
2011,Canada,409,96,0.23471882640586797,0.19622996977544666,0.2781445258968794
2011,China,495,129,0.2606060606060606,0.22388453562902894,0.3010146165779884
2011,France,381,101,0.2650918635170604,0.22327609771096063,0.31159730041894323
2011,Germany,516,167,0.3236434108527132,0.2847062780160964,0.3651869790302291
2011,India,263,50,0.19011406844106463,0.14728387327209153,0.24186652067201841
2011,Italy,416,87,0.2091346153846154,0.1728032446739823,0.25078869719912045
2011,Japan,441,140,0.31746031746031744,0.27575116390591947,0.3623221388235017
2011,Netherlands,247,50,0.20242914979757085,0.15705344647160918,0.256919025658374
2011,South Korea,162,63,0.3888888888888889,0.3172230206390702,0.4657021884371308
2011,Spain,282,67,0.2375886524822695,0.1916500563965659,0.2905804058652464
2011,Switzerland,163,40,0.24539877300613497,0.18570158324610508,0.31682014854239016
2011,UNKNOWN,2559,572,0.22352481438061741,0.20780466266906442,0.24007378680352984
2011,United Kingdom,785,174,0.22165605095541402,0.19399447298835712,0.2520285584921278
2011,United States,3400,809,0.23794117647058824,0.223928718082412,0.2525451360737104
2012,Australia,248,62,0.25,0.20019835906512176,0.3074283812632632
2012,Canada,365,86,0.2356164383561644,0.1949726810067017,0.2817672694937554
2012,China,720,220,0.3055555555555556,0.27301407106826575,0.34016089067517324
2012,France,354,93,0.2627118644067797,0.21958845827138107,0.31092988760820917
2012,Germany,549,145,0.2641165755919854,0.2289697057682372,0.30254155145098166
2012,India,323,82,0.25386996904024767,0.20949045816652906,0.3040351497116693
2012,Italy,453,119,0.26269315673289184,0.2242827712718527,0.3050944429700242
2012,Japan,402,161,0.40049751243781095,0.3537578315879075,0.4491208584491668
