pub_year,doc_type,n_hits,n_metaphor,share_metaphor,lo95,hi95
2010,Case Report,369,141,0.3821138211382114,0.33399193490926227,0.432664916302556
2010,Clinical Trial,311,52,0.16720257234726688,0.1298449865350455,0.2126812462699902
2010,Comment/Reply,33,11,0.3333333333333333,0.1975022767922068,0.5039210557219439
2010,Conference,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522
2010,Editorial,17,8,0.47058823529411764,0.26165106442409436,0.6903676493999558
2010,Guideline,3,0,0.0,5.551115123125783e-17,0.5614970317550454
2010,Letter/Correspondence,15,6,0.4,0.1982449614134158,0.6425316987937539
2010,Meta-analysis,19,3,0.15789473684210525,0.05520471638534141,0.37565475270329074
2010,Other/Unclear,13,3,0.23076923076923078,0.08179528718498569,0.5025637594672749
2010,Research Article,6385,1392,0.21801096319498825,0.20805452811447084,0.22830650491315063
2010,Review,1131,343,0.3032714412024757,0.2771849770115012,0.3306897648379589
2011,Case Report,468,185,0.3952991452991453,0.35202863011836355,0.44027448744799397
2011,Clinical Trial,405,82,0.20246913580246914,0.16621306768878674,0.2443163813177644
2011,Comment/Reply,56,19,0.3392857142857143,0.2291997240159191,0.4700054699293978
2011,Conference,4,0,0.0,0.0,0.4898908364545973
2011,Editorial,18,6,0.3333333333333333,0.1627877475083369,0.5625053270405489
2011,Guideline,12,2,0.16666666666666666,0.04696514218385381,0.4480308622529734
2011,Letter/Correspondence,28,9,0.32142857142857145,0.17933246922494958,0.5066115681914238
2011,Meta-analysis,16,0,0.0,0.0,0.1936076805344365
2011,Other/Unclear,22,8,0.36363636363636365,0.19733204670366122,0.5704829190986899
2011,Research Article,8284,1810,0.2184934814099469,0.20972663271901085,0.2275212896533295
2011,Review,1457,470,0.3225806451612903,0.29907119022880035,0.3470231912810432
2012,Case Report,488,193,0.39549180327868855,0.35308824221895035,0.4395278576019776
2012,Clinical Trial,439,78,0.1776765375854214,0.14476207930868562,0.21618303013603252
2012,Comment/Reply,65,16,0.24615384615384617,0.15757986855897987,0.3630578319587784
2012,Conference,2,0,0.0,0.0,0.6576197724933469
2012,Editorial,27,7,0.25925925925925924,0.1317037456190719,0.44678571314553067
2012,Guideline,5,3,0.6,0.2307242812760128,0.882379225767352
2012,Letter/Correspondence,28,10,0.35714285714285715,0.2070582950773768,0.5416969348557219
2012,Meta-analysis,11,2,0.18181818181818182,0.05136768974608513,0.4769805619608442
2012,Other/Unclear,22,7,0.3181818181818182,0.1636059318135624,0.5268140225895723
2012,Research Article,8619,1912,0.22183547975403178,0.2131890406221875,0.23072976237343315
2012,Review,1689,519,0.30728241563055064,0.2857374508295401,0.32970202425661804
2013,Case Report,539,189,0.35064935064935066,0.31155137141169065,0.39186111231833354
2013,Clinical Trial,514,97,0.188715953307393,0.15724528651675584,0.2248049635177783
2013,Comment/Reply,78,26,0.3333333333333333,0.23872670036358598,0.44358590287381205
2013,Conference,5,2,0.4,0.11762077423264783,0.769275718723987
2013,Editorial,27,12,0.4444444444444444,0.27585858177023004,0.6268697548677552
2013,Guideline,10,5,0.5,0.236593090512564,0.7634069094874361
2013,Letter/Correspondence,19,3,0.15789473684210525,0.05520471638534141,0.37565475270329074
2013,Meta-analysis,21,5,0.23809523809523808,0.10628013022636465,0.4509117368295076
2013,Other/Unclear,17,3,0.17647058823529413,0.06191126637620997,0.41029458568834126
2013,Research Article,10404,2217,0.21309111880046136,0.2053292386125386,0.22106479096403636
2013,Review,1976,613,0.3102226720647773,0.29021132465740496,0.3309704640870623
2014,Case Report,560,210,0.375,0.33588257555893447,0.41582067752781476
2014,Clinical Trial,527,98,0.1859582542694497,0.15505528453185236,0.22140637930400842
2014,Comment/Reply,74,22,0.2972972972972973,0.20527216059760808,0.4093291013198457
2014,Conference,9,4,0.4444444444444444,0.18877852109766452,0.733348706504507
2014,Editorial,35,10,0.2857142857142857,0.16326536236434688,0.45054934863182616
2014,Guideline,5,2,0.4,0.11762077423264783,0.769275718723987
2014,Letter/Correspondence,24,6,0.25,0.11999366228595004,0.44899444005154004
2014,Meta-analysis,34,7,0.20588235294117646,0.10349526899031913,0.36798388051163594
2014,Other/Unclear,36,5,0.1388888888888889,0.06081815009132838,0.286595303893562
