pub_year,n_docs,n_title,n_abstract,prev_title,prev_abstract,title_lo95,title_hi95,abstract_lo95,abstract_hi95
2010,387434,270,1776,0.0006968928901438697,0.004584006566279676,0.0006186004256305478,0.0007850865678055257,0.004376159714183548,0.0048016775498066575
2011,509457,360,2381,0.0007066347110747326,0.004673603464080384,0.0006373337370197964,0.0007834652722779609,0.004490016805617112,0.004864659885870889
2012,552351,393,2631,0.0007115040979377244,0.00476327552588843,0.0006445717382243687,0.0007853812549179548,0.004585112498984049,0.004948326992399998
2013,616976,448,3137,0.0007261222478670159,0.0050844765436581,0.0006619449954225954,0.0007965166889868338,0.004910059665680302,0.005265056338072793
2014,668201,502,3422,0.0007512709499087849,0.005121213527067454,0.000688384020694867,0.000819898165079754,0.004952889668302932,0.00529522742685389
2015,692692,521,3871,0.0007521380353750296,0.005588342293544606,0.0006902875544440213,0.0008195258387158785,0.005415512493797214,0.005766655775768136
2016,744227,596,4360,0.0008008309292729235,0.0058584276034059505,0.0007390885901762194,0.0008677266507463938,0.005687575472596691,0.006034380905508336
2017,767947,682,4435,0.000888082120250486,0.005775138128021855,0.0008239104292712008,0.0009572471461568102,0.005608117616753272,0.0059471030819618935
2018,826130,745,5053,0.0009017951169912725,0.006116470773364966,0.0008393479732916035,0.0009688837972200707,0.005950623208603381,0.006286911378974251
2019,885697,797,5556,0.0008998562713885222,0.006273025650984479,0.0008395387486057746,0.0009645031852247504,0.00611072477340325,0.006439609310633531
2020,1023857,1360,8395,0.001328310496485349,0.008199387219113606,0.0012596080103436246,0.001400754949665376,0.008026547774816255,0.008375917070789558
2021,1172890,1584,10542,0.001350510278031188,0.008988055145836353,0.0012856612648763856,0.0014186256421770478,0.008818854485480376,0.009160472128249712
2022,1221578,1630,11365,0.00133433968195236,0.009303540175085013,0.0012711551792211927,0.0014006604519959467,0.009134828564265859,0.009475337932374104
2023,1176462,1555,11113,0.0013217596488454366,0.009446118956668383,0.0012577158442664733,0.0013890600748367305,0.009272920339438837,0.00962252113913026
2024,1227755,1666,13004,0.0013569482510761512,0.010591689710080595,0.0012933751413991713,0.001423641707656506,0.010412138070864899,0.010774303908175117
2025,1127750,1743,11368,0.0015455553092440701,0.01008024828197739,0.0014747317548451356,0.001619774626358022,0.009897545360405945,0.01026628882295208
