pub_year,lexeme,target,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,std_prev,std_lo95,std_hi95,L_star
2010,ammunition,any,387434,16,4.1297356452970054e-05,2.5421301421239587e-05,6.708762513518606e-05,5.301662393024882e-05,5.278827693889311e-05,5.3245958632796634e-05,250
2011,ammunition,any,509457,19,3.729460975116644e-05,2.387690684001109e-05,5.825199378536924e-05,5.3793042135639404e-05,5.3579417690246726e-05,5.400751826887884e-05,250
2012,ammunition,any,552351,20,3.620885994594017e-05,2.3440875552984168e-05,5.5931034549052316e-05,5.458083021486446e-05,5.438191358578234e-05,5.478047439571986e-05,250
2013,ammunition,any,616976,28,4.5382640491688495e-05,3.140045372612574e-05,6.559049281631189e-05,5.5380154650127436e-05,5.519576963925949e-05,5.556515557673053e-05,250
2014,ammunition,any,668201,29,4.3400114636164864e-05,3.021960109025243e-05,6.232905313033393e-05,5.619118436078999e-05,5.602092721178226e-05,5.6361958921135725e-05,250
2015,ammunition,any,692692,27,3.897836267778464e-05,2.678969874892936e-05,5.671225890521179e-05,5.7014090739033976e-05,5.685723750712545e-05,5.7171376660442994e-05,250
2016,ammunition,any,744227,40,5.374704223308211e-05,3.947328117283575e-05,7.318189804057928e-05,5.784904768604479e-05,5.770442920107908e-05,5.799402859194591e-05,250
2017,ammunition,any,767947,49,6.380648664556277e-05,4.8268218236550765e-05,8.434633639722408e-05,5.8696231648723703e-05,5.856207879199441e-05,5.8830691802094476e-05,250
2018,ammunition,any,826130,46,5.568130923704502e-05,4.174859414716241e-05,7.426342958431116e-05,5.955582165693661e-05,5.9429608448330256e-05,5.968230289394936e-05,250
2019,ammunition,any,885697,62,7.000136615569433e-05,5.461147344402657e-05,8.972784840885657e-05,6.0427999361308404e-05,6.030635636084159e-05,6.054988771109566e-05,250
2020,ammunition,any,1023857,57,5.567183698504772e-05,4.297419743452769e-05,7.212099328767132e-05,6.131294907156767e-05,6.119175584174224e-05,6.143438231569507e-05,250
2021,ammunition,any,1172890,50,4.262974362472184e-05,3.233840793518492e-05,5.619599743908007e-05,6.221085779545405e-05,6.208557311654147e-05,6.233639527500089e-05,250
2022,ammunition,any,1221578,69,5.64843178249772e-05,4.4636873402370756e-05,7.147606639976822e-05,6.31219152781932e-05,6.298804306944473e-05,6.32560719954558e-05,250
2023,ammunition,any,1176462,50,4.250031025226484e-05,3.224022090967865e-05,5.602537521840821e-05,6.404631404254891e-05,6.389979013723351e-05,6.419317390947726e-05,250
2024,ammunition,any,1227755,51,4.153923217580055e-05,3.159651737170446e-05,5.4610525287368155e-05,6.498424942946084e-05,6.482161659563036e-05,6.514729027094075e-05,250
2025,ammunition,any,1127750,56,4.965639547772113e-05,3.824312624485614e-05,6.447561836242971e-05,6.593591963927594e-05,6.575431782545928e-05,6.611802297206821e-05,250
2010,ammunition,title,387434,2,5.162169556621257e-06,1.4156542288420052e-06,1.882361509799675e-05,1.0013277782537489e-05,9.930546042068815e-06,1.0096698757187648e-05,250
2011,ammunition,title,509457,6,1.1777245184578875e-05,5.397627927996069e-06,2.5696928378495993e-05,1.009748033129961e-05,1.0020366089640789e-05,1.0175188018916893e-05,250
2012,ammunition,title,552351,7,1.267310098107906e-05,6.138978786258177e-06,2.6161740754052484e-05,1.0182390939617999e-05,1.0110786008981968e-05,1.0254502973609668e-05,250
