pub_year,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,target
2010,387434,5857,0.01511741354656535,0.014737972793487882,0.015506469552926904,any
2011,509457,7503,0.014727445103315884,0.014400307485753744,0.015061900867376233,any
2012,552351,8050,0.01457406612824092,0.014261384583037785,0.014893499650961048,any
2013,616976,9531,0.015447926661652966,0.015143200781704926,0.01575868640757565,any
2014,668201,10108,0.01512718478421912,0.01483729965008692,0.015422644912237507,any
2015,692692,10851,0.015664970867283006,0.015375220455755095,0.015960093198081907,any
2016,744227,11671,0.015682043247557533,0.015402262991031604,0.01596682326325318,any
2017,767947,11391,0.014833054885298074,0.014565105201876715,0.015105858392011767,any
2018,826130,12391,0.014998850059917931,0.014738993635976208,0.015263216919946365,any
2019,885697,13371,0.015096584949480466,0.014844733733581944,0.015352642408421192,any
2020,1023857,18430,0.01800056062516543,0.01774483363568255,0.018259904475305497,any
2021,1172890,22252,0.018971941102746206,0.018726614808956668,0.01922041832019914,any
2022,1221578,23563,0.019288985230578808,0.01904659209301242,0.019534401712967817,any
2023,1176462,22255,0.018916888093283082,0.01867228334340417,0.019164634559476396,any
2024,1227755,23680,0.019287235645548174,0.01904546007869551,0.019532019357366273,any
2025,1127750,20667,0.018325870095322546,0.018079958813484162,0.01857506282257393,any
