pub_year,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,target
2010,387434,665,0.001716421377576568,0.0015909257926850107,0.0018517979583001218,title
2011,509457,920,0.0018058442616354275,0.0016929558888378413,0.0019262456449658715,title
2012,552351,970,0.0017561297073780983,0.0016491235622718562,0.0018700661196486056,title
2013,616976,1142,0.001850963408625295,0.0017467672195859653,0.001961362779298921,title
2014,668201,1223,0.0018302875931044702,0.0017306277419098697,0.0019356753238868635,title
2015,692692,1265,0.0018262084736073176,0.0017283894839180414,0.0019295528728375767,title
2016,744227,1433,0.0019254877880001667,0.0018284285286552014,0.002027688819552661,title
2017,767947,1472,0.0019167989457605798,0.0018214330283791733,0.002017147906333904,title
2018,826130,1671,0.0020226840811978742,0.0019280890435594172,0.0021219102312705195,title
2019,885697,1822,0.0020571369215431463,0.0019649116540473286,0.0021536815413846695,title
2020,1023857,2758,0.00269373555096073,0.0025951873887152723,0.002796015434273734,title
2021,1172890,3156,0.0026907894175924427,0.00259865357367196,0.0027861828331465664,title
2022,1221578,3263,0.002671135203810154,0.0025811577808865544,0.002764240486512965,title
2023,1176462,3022,0.002568718751646887,0.002478862883412292,0.0026618230980194803,title
2024,1227755,3149,0.0025648439631685473,0.0024769195134115743,0.0026558812012082923,title
2025,1127750,3036,0.002692086011970738,0.002598133691967471,0.0027894262838524383,title
